PrYVO_05,intensity,PrYVO_05_90,intensity
24.37747037,1213,24.37747037,83493
24.40373094,1111,24.40373094,91233
24.42999151,1160,24.42999151,99712
24.45625208,1144,24.45625208,108443
24.48251265,1182,24.48251265,118482
24.50877322,1209,24.50877322,130250
24.53503379,1134,24.53503379,142057
24.56129436,1192,24.56129436,154835
24.58755493,1139,24.58755493,170036
24.6138155,1172,24.6138155,186883
24.64007607,1158,24.64007607,207313
24.66633664,1161,24.66633664,230306
24.69259721,1106,24.69259721,261146
24.71885778,1170,24.71885778,302523
24.74511835,1105,24.74511835,361166
24.77137892,1174,24.77137892,449833
24.79763949,1168,24.79763949,586573
24.82390006,1180,24.82390006,824005
24.85016063,1175,24.85016063,1288174
24.8764212,1135,24.8764212,2205512
24.90268177,1177,24.90268177,3727774
24.92894234,1121,24.92894234,6854123
24.95520291,1128,24.95520291,16345938
24.98146348,1105,24.98146348,44925400
25.00772405,1147,25.00772405,80677080
25.03398462,1160,25.03398462,42026808
25.06024519,1165,25.06024519,38796828
25.08650576,1168,25.08650576,27900208
25.11276633,1124,25.11276633,6781038
25.1390269,1139,25.1390269,2415632
25.16528747,1157,25.16528747,1254899
25.19154804,1122,25.19154804,782460
